scenario,liters_mean,liters_p05,liters_p95,eff_mean,eff_p05,eff_p95,pause_mean,monitored_mean,liters_gain_pct,eff_gain_pp,pause_reduction_pct,waiting_waste_h,waiting_waste_share_pct,waste_recovered_h,waste_reduction_pct
baseline,211924.69216319927,188572.812603801,236799.79443880133,0.4236923408651354,0.39115638551589943,0.4560469304634107,137.66659223688882,238.70171287094428,0.0,0.0,0.0,137.66659223688882,57.67306425292357,0.0,0.0
s1_5s_visual,216866.68844011697,192906.8670200317,242100.45895949096,0.43249779996740917,0.3996838921750584,0.46484409992711256,135.56912420028112,238.70171287094428,2.3319586908315304,0.880545910227376,1.5235853539531874,135.56912420028112,56.79436589279001,2.097468036607694,1.5235853539531874
s2_tpm,255604.09557974953,226295.58342006334,287389.2393755734,0.5081021490818374,0.4802473290662709,0.5354206530741297,117.46110956230804,238.70171287094428,20.610813667202855,8.440980821670196,14.677113994230595,117.46110956230804,49.208322868556124,20.20548267458078,14.677113994230595
s3_integrated,280142.2213559884,247828.09833289683,314804.32937893545,0.5532862037376646,0.5261566848362242,0.5795954275655802,106.67908515281135,238.70171287094428,32.18951434892546,12.959386287252917,22.509097218558246,106.67908515281135,44.69137815131144,30.987507084077464,22.509097218558246
