study,"Throughput /
Output","Availability /
Downtime","Waste
Reduction","Lead Time /
Flow","Inventory /
WIP","Quality /
Defect","Labor /
Human","Cost /
Resource","Flexibility /
Responsiveness"
This Study,3,3,3,0,0,0,0,0,1
Possik et al. [4],3,1,1,3,3,3,2,1,3
Frecassetti et al. [5],2,1,2,2,1,1,1,1,1
Oleghe and Salonitis [2],2,1,1,1,0,3,3,0,1
Reslan et al. [10],2,1,3,3,1,0,1,2,2
Matindana and Shoshiwa [9],2,1,3,1,0,0,1,2,1
Unal and Bilget [11],3,1,1,2,0,0,3,0,1
